
1 : 0,7951
2 : 0,007
3 : 0,0076
4 : 0,0193
5 : 0,0119
6 : 0,0145
7 : 0,0201
8 : 0,049
9 : 0,0195
10 : 0,0221
11 : 0,0864
12 : 0,0345
13 : 0,0427
14 : 0,0317
15 : 0,0413
16 : 0,0363
17 : 0,0464
18 : 0,047
19 : 0,0442
20 : 0,0621
21 : 0,0527
22 : 0,0555
23 : 0,038
24 : 0,0456
25 : 0,0464
26 : 0,0467
27 : 0,0492
28 : 0,0507
29 : 0,0553
30 : 0,0549
31 : 0,0755
32 : 0,0851
33 : 0,0925
34 : 0,0882
35 : 0,0923
36 : 0,0967
37 : 0,1027
38 : 0,1014
39 : 0,0998
40 : 0,1084
41 : 0,1089
42 : 0,1184
43 : 0,1099
44 : 0,1188
45 : 0,1157
46 : 0,1261
47 : 0,1306
48 : 0,1223
49 : 0,132
50 : 0,1323
51 : 0,1367
52 : 0,1315
53 : 0,1401
54 : 0,1428
55 : 0,1454
56 : 0,1507
57 : 0,1507
58 : 0,1841
59 : 0,1538
60 : 0,1585
61 : 0,1604
62 : 0,1587
63 : 0,1525
64 : 0,2566
65 : 0,2003
66 : 0,1939
67 : 0,1787
68 : 0,173
69 : 0,1771
70 : 0,1847
71 : 0,1869
72 : 0,1849
73 : 0,193
74 : 0,1929
75 : 0,1937
76 : 0,2025
77 : 0,2025
78 : 0,1999
79 : 0,2103
80 : 0,2121
81 : 0,2139
82 : 0,2198
83 : 0,2181
84 : 0,2146
85 : 0,222
86 : 0,2203
87 : 0,2358
88 : 0,2298
89 : 0,2283
90 : 0,2345
91 : 0,2319
92 : 0,237
93 : 0,244
94 : 0,2378
95 : 0,2424
96 : 0,2452
97 : 0,2844
98 : 0,2777
99 : 0,2084
100 : 0,221
101 : 0,5087
102 : 0,235
103 : 0,197
104 : 0,2744
105 : 0,264
106 : 0,2743
107 : 0,2739
108 : 0,2787
109 : 0,2695
110 : 0,281
111 : 0,2864
112 : 0,2909
113 : 0,294
114 : 0,2937
115 : 0,2986
116 : 0,2975
117 : 0,3017
118 : 0,4838
119 : 0,2853
120 : 0,2879
121 : 0,2867
122 : 0,2908
123 : 0,2939
124 : 0,2948
125 : 0,2983
126 : 0,3016
127 : 0,3044
128 : 0,3055
129 : 0,3076
130 : 0,3534
131 : 0,3316
132 : 0,2613
133 : 0,276
134 : 0,2601
135 : 0,2552
136 : 0,2556
137 : 0,2693
138 : 0,3207
139 : 0,3202
140 : 0,3268
141 : 0,328
142 : 0,329
143 : 0,3296
144 : 0,3321
145 : 0,3344
146 : 0,3359
147 : 0,3341
148 : 0,3392
149 : 0,3404
150 : 0,3426
151 : 0,3455
152 : 0,3432
153 : 0,3481
154 : 0,3486
155 : 0,3479
156 : 0,3521
157 : 0,3522
158 : 0,3601
159 : 0,3568
160 : 0,3567
161 : 0,3609
162 : 0,3602
163 : 0,4112
164 : 0,2979
165 : 1,0325
166 : 1,0715
167 : 0,9841
168 : 1,2332
169 : 1,2168
170 : 0,8715
171 : 0,8738
172 : 0,8744
173 : 0,8794
174 : 1,4708
175 : 0,5661
176 : 0,7169
177 : 0,7162
178 : 0,7176
179 : 0,7423
180 : 0,7478
181 : 0,7525
182 : 0,5682
183 : 0,5166
184 : 0,5706
185 : 0,5089
186 : 0,6218
187 : 0,6206
188 : 0,6235
189 : 0,6277
190 : 0,6308
191 : 0,6437
192 : 0,8271
193 : 0,5709
194 : 0,4553
195 : 0,5627
196 : 0,5547
197 : 0,5547
198 : 0,5531
199 : 0,5581
200 : 0,5981
201 : 0,4885
202 : 0,4437
203 : 0,5244
204 : 0,4975
205 : 0,5
206 : 0,5024
207 : 0,5024
208 : 0,5851
209 : 0,509
210 : 0,5099
211 : 0,5098
212 : 0,4728
213 : 0,4559
214 : 0,4613
215 : 0,4599
216 : 0,9849
217 : 0,4712
218 : 0,4648
219 : 0,4674
220 : 0,4699
221 : 0,4671
222 : 0,4782
223 : 0,4617
224 : 0,4632
225 : 0,465
226 : 0,4657
227 : 0,4874
228 : 0,4953
229 : 0,6297
230 : 0,4979
231 : 0,4989
232 : 0,4068
233 : 0,4763
234 : 0,4829
235 : 0,4792
236 : 0,4828
237 : 0,4833
238 : 0,4889
239 : 0,4849
240 : 0,4895
241 : 0,5661
242 : 0,6923
243 : 0,4251
244 : 0,498
245 : 0,4975
246 : 0,4998
247 : 0,4985
248 : 0,5015
249 : 0,5026
250 : 0,5055
251 : 0,5084
252 : 0,5085
253 : 0,5464
254 : 0,5516
255 : 0,5267
256 : 0,5299
257 : 0,515
258 : 0,5198
259 : 0,52
260 : 0,521
261 : 0,5255
262 : 0,524
263 : 0,5293
264 : 0,529
265 : 0,5316
266 : 0,5754
267 : 0,4899
268 : 0,4642
269 : 0,5547
270 : 0,6182
271 : 0,5413
272 : 0,5431
273 : 0,5416
274 : 0,5455
275 : 0,5451
276 : 0,5457
277 : 0,5504
278 : 0,5507
279 : 0,5751
280 : 0,4962
281 : 0,5684
282 : 0,558
283 : 0,5624
284 : 0,5618
285 : 0,5641
286 : 0,563
287 : 0,5692
288 : 0,738
289 : 0,6451
290 : 0,6053
291 : 0,6266
292 : 0,5937
293 : 0,5779
294 : 0,6616
295 : 0,6256
296 : 0,6934
297 : 0,5731
298 : 0,6546
299 : 0,656
300 : 0,6746
301 : 0,5474
302 : 0,6708
303 : 0,6634
304 : 0,6503
305 : 0,6422
306 : 0,5316
307 : 0,6012
308 : 0,5984
309 : 0,7693
310 : 0,61
311 : 0,6064
312 : 0,6097
313 : 0,6094
314 : 0,6108
315 : 0,6129
316 : 0,6147
317 : 0,6143
318 : 0,6164
319 : 0,625
320 : 0,6932
321 : 0,6216
322 : 0,6619
323 : 0,6993
324 : 0,6336
325 : 0,6349
326 : 0,6313
327 : 0,6322
328 : 0,6323
329 : 0,6363
330 : 0,9849
331 : 0,7599
332 : 0,6652
333 : 0,6612
334 : 0,6559
335 : 0,6541
336 : 0,6562
337 : 0,6577
338 : 0,6635
339 : 0,6617
340 : 0,6612
341 : 0,6668
342 : 0,7459
343 : 0,7347
344 : 0,6871
345 : 0,7419
346 : 0,7643
347 : 0,7386
348 : 1,1857
349 : 0,6932
350 : 0,6919
351 : 0,6914
352 : 0,6916
353 : 0,6922
354 : 0,6955
355 : 0,6476
356 : 0,713
357 : 0,7488
358 : 0,7433
359 : 0,749
360 : 0,8025
361 : 0,724
362 : 1,1417
363 : 0,6948
364 : 1,514
365 : 0,8326
366 : 0,7887
367 : 0,8119
368 : 0,9127
369 : 0,8496
370 : 0,9257
371 : 0,8371
372 : 0,9267
373 : 0,8322
374 : 0,9371
375 : 0,8344
376 : 0,8478
377 : 1,3779
378 : 0,8366
379 : 1,685
380 : 0,6789
381 : 0,7441
